"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12"
"ACTR3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DZIP1L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EIF3B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL138955.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHN2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SYT13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MIR1915HG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ELOVL3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL159169.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC058791.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CACNG8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Z99716.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FAM3D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABCD2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL139393.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALOX12B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SMCO2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRIN2C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAM15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CLASRP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL135878.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TWIST2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC006040.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UGT1A10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NOXRED1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL121890.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LINC01732",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PTPN11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC093157.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC005914.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VTCN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLC16A8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC072054.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNF126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC061992.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC012555.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC108471.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL021940.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SUPT6H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PCDH10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DNAH2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ELAVL2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RGSL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RAB38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL157702.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC016252.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANGPTL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AP000350.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRPK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC020663.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC069503.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNF13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC092803.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL049840.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC079145.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HTR2B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL121782.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAMTSL3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL157888.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EPS8L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LINC01635",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC112907.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL008718.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCDC84-DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACAA1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SYNGAP1-AS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLXNB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLC38A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FOXP3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FOXO3B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HSPB11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC234917.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC004923.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AP003117.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANKRD18A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF230666.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLC38A8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCNL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMEM72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DLX4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC004080.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL23A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC010973.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FBXO39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LINC02846",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HENMT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL844892.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DDX39B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AP003110.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC127070.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CANX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CFI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CTNNA2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRSS8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FOXN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LRIF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL589794.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL162293.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRIP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZNF208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LNCPRESS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC010332.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Z94721.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PPP1R42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC091182.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL360270.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SLC16A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOXD13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RHOV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC012464.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL160408.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HID1-AS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC140725.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CASQ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UBE2E1-AS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NTRK1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERP44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PCBP2-OT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P2RX6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SUN3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DGKI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FAM83C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZNF233",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC092376.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC007952.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LINC01331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DPY30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DHRS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GLYATL2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC004865.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAA50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC004948.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AP001059.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIST1H2AH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FKBP5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL137026.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC022167.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALOX15B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL442125.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL121917.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ULBP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMEM18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KLRC3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIM2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL121928.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UHMK1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AK4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZNF439",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL353743.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AP005328.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL512590.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CALML3-AS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCDC36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC005614.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL121762.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LRRC4B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZNF154",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EYA4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KCNK15-AS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC004832.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC007879.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LINC01014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC002347.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL135784.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRDM5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DPP6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRSK2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC016745.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC092068.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AP002748.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC104118.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNPS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KCNJ15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IGLV3-25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LINC02709",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CSTL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EGLN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIST1H4D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HLTF-AS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AP001042.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC087521.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PGAM1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC130343.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC119674.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LETM2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLCH2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC007370.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CALML6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LINC01804",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CNNM3-DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PPP2R1B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATP5IF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZNF488",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LINC01600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC007823.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC082651.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL132990.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NPIPA9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL135791.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AF001548.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL157756.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC026150.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NHLRC4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CD28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CALCR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NMUR1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC022819.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC004223.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC061958.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MEGF10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PCBP3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NGFR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL008730.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TPM1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PPP2R5C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MYLK4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AP003778.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC093732.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AP1B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CXCR2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LRRC36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZBTB8OS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC079781.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC016747.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL359532.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC104806.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MEF2C-AS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JHY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC011825.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NASP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LINC02450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARNS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC027306.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CNOT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC114810.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC027575.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AP000695.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WWC2-AS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RAPSN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KF459542.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GADD45GIP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC061975.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LINC01359",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NBPF14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WNT10B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RASSF9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZSCAN5B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCDC60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC134772.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL590807.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC093915.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC068831.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LINC02067",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CNTFR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FBXO2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC090398.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AP003559.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FAM71F1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC015712.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC090409.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC005082.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VAC14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WFDC12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL137139.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC109597.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FAM242E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IFI6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HORMAD2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IL17A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRDM12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC018904.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HSPA1A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARMC6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CLINT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC231981.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC026402.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LINC01971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FCRL3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LINC00661",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DBNDD1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC093772.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC091965.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NME4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UPK3BL2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC008149.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GTPBP6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HP1BP3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FFAR3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC093151.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC002463.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AIDA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CEP85L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC007387.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TAS2R10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIPK2A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIPJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LINC01693",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BMS1P14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC016583.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC080005.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC007786.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC069243.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL356776.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC245884.10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OR56A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC004921.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOXA-AS3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL133215.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC096708.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL445222.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GYPB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANKRD35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZNF365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CDK16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NACA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NUTM2A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FBN3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC097724.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNF213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CDKN2A-DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GNG4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC126118.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MLIP-AS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BTLA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HSD3B2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC011484.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC233976.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KLRK1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRDM8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LINC00311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LINC02617",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OVOL1-AS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LRIG2-DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CDKL4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G3BP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SUN2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AC079834.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL390964.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
