"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9"
NA,"P2RX4",NA,NA,NA,NA,NA,"VPREB3",NA
NA,"METTL22",NA,NA,NA,NA,NA,"TLR2",NA
NA,"OGT",NA,NA,NA,NA,NA,"CNOT7",NA
NA,"FANCE",NA,NA,NA,NA,NA,"NOL8",NA
NA,"FLNC",NA,NA,NA,NA,NA,"DTD1",NA
NA,"NDUFA3",NA,NA,NA,NA,NA,"PALD1",NA
NA,"ATP5F1E",NA,NA,NA,NA,NA,"CDKN1B",NA
NA,"MYLPF",NA,NA,NA,NA,NA,"PSMB9",NA
NA,"ZKSCAN2",NA,NA,NA,NA,NA,"STK10",NA
NA,"AL391121.1",NA,NA,NA,NA,NA,"AC009948.2",NA
NA,"CLEC4A",NA,NA,NA,NA,NA,"INPP5D",NA
NA,"ERI3",NA,NA,NA,NA,NA,"TREML2",NA
NA,"AGMO",NA,NA,NA,NA,NA,"DUOXA1",NA
NA,"CPT2",NA,NA,NA,NA,NA,"AC093484.3",NA
NA,"RPS23",NA,NA,NA,NA,NA,"KIF26B",NA
NA,"ENTPD6",NA,NA,NA,NA,NA,"HYAL2",NA
NA,"SERAC1",NA,NA,NA,NA,NA,"TNFRSF4",NA
NA,"OXT",NA,NA,NA,NA,NA,"FLYWCH2",NA
NA,"ISG15",NA,NA,NA,NA,NA,"FBH1",NA
NA,"SLC2A13",NA,NA,NA,NA,NA,"GIMAP4",NA
NA,"AL138820.1",NA,NA,NA,NA,NA,"GP1BA",NA
NA,"PEMT",NA,NA,NA,NA,NA,"ZFY",NA
NA,"SKI",NA,NA,NA,NA,NA,"AC016044.1",NA
NA,"ZXDC",NA,NA,NA,NA,NA,"S1PR1",NA
NA,"IFT74",NA,NA,NA,NA,NA,"BATF",NA
NA,"GSTM5",NA,NA,NA,NA,NA,"LINC02694",NA
NA,"IKZF5",NA,NA,NA,NA,NA,"MITF",NA
NA,"SORBS1",NA,NA,NA,NA,NA,"SMU1",NA
NA,"FAM66D",NA,NA,NA,NA,NA,"AC009812.1",NA
NA,"ZNF599",NA,NA,NA,NA,NA,"BTG3",NA
NA,"PIK3R1",NA,NA,NA,NA,NA,"AL020996.1",NA
NA,"FAHD1",NA,NA,NA,NA,NA,"ZMYM2",NA
NA,"MED16",NA,NA,NA,NA,NA,"ABI3BP",NA
NA,"CPSF7",NA,NA,NA,NA,NA,"PRC1",NA
NA,"FER",NA,NA,NA,NA,NA,"ADAM9",NA
NA,"C8orf58",NA,NA,NA,NA,NA,"LILRB2",NA
NA,"DBP",NA,NA,NA,NA,NA,"PIK3CG",NA
NA,"AL133353.1",NA,NA,NA,NA,NA,"AC092803.4",NA
NA,"HEXA",NA,NA,NA,NA,NA,"AC012184.1",NA
NA,"NAALADL1",NA,NA,NA,NA,NA,"DYNC2H1",NA
NA,"IL10RA",NA,NA,NA,NA,NA,"KCNG2",NA
NA,"USO1",NA,NA,NA,NA,NA,"EMP3",NA
NA,"RPL14",NA,NA,NA,NA,NA,"ETV4",NA
NA,"LAMTOR5",NA,NA,NA,NA,NA,"FAM49A",NA
NA,"SACM1L",NA,NA,NA,NA,NA,"P3H3",NA
NA,"AC139795.2",NA,NA,NA,NA,NA,"AL136169.1",NA
NA,"NOP9",NA,NA,NA,NA,NA,"R3HDM1",NA
NA,"NFASC",NA,NA,NA,NA,NA,"ARRB2",NA
NA,"CHST2",NA,NA,NA,NA,NA,"AP001021.1",NA
NA,"TMEM255A",NA,NA,NA,NA,NA,"RPS15A",NA
NA,"TIMM17A",NA,NA,NA,NA,NA,"INSL3",NA
NA,"SND1",NA,NA,NA,NA,NA,"AL450998.2",NA
NA,"IL13RA1",NA,NA,NA,NA,NA,"TMEM156",NA
NA,"HOXA-AS2",NA,NA,NA,NA,NA,"IGKV1-39",NA
NA,"SPTAN1",NA,NA,NA,NA,NA,"CLEC2B",NA
NA,"TTLL11",NA,NA,NA,NA,NA,"CMTM5",NA
NA,"ADORA2A-AS1",NA,NA,NA,NA,NA,"VWA3A",NA
NA,"CYP39A1",NA,NA,NA,NA,NA,"AC026979.2",NA
NA,"C1RL-AS1",NA,NA,NA,NA,NA,"PARD6B",NA
NA,"PSMA7",NA,NA,NA,NA,NA,"DEDD2",NA
NA,"BSG",NA,NA,NA,NA,NA,"MED13L",NA
NA,"ADRA2B",NA,NA,NA,NA,NA,"ACOT11",NA
NA,"MTRF1L",NA,NA,NA,NA,NA,"SPATA33",NA
NA,"MMP19",NA,NA,NA,NA,NA,"CNTN4",NA
NA,"LRRC23",NA,NA,NA,NA,NA,"TADA2A",NA
NA,"CCDC9B",NA,NA,NA,NA,NA,"LINC01393",NA
NA,"REEP5",NA,NA,NA,NA,NA,"CHD8",NA
NA,"BRD9",NA,NA,NA,NA,NA,"DYRK2",NA
NA,"CCL22",NA,NA,NA,NA,NA,"ST7L",NA
NA,"SMG5",NA,NA,NA,NA,NA,"SARNP",NA
NA,"RHOU",NA,NA,NA,NA,NA,"THBS1",NA
NA,"PSD4",NA,NA,NA,NA,NA,"SZT2-AS1",NA
NA,"FIZ1",NA,NA,NA,NA,NA,"AC010997.5",NA
NA,"OGA",NA,NA,NA,NA,NA,"GALNT15",NA
NA,"CPT1A",NA,NA,NA,NA,NA,"TLR7",NA
NA,"C9orf116",NA,NA,NA,NA,NA,"LGALS2",NA
NA,"TNXB",NA,NA,NA,NA,NA,"NRIR",NA
NA,"CENPI",NA,NA,NA,NA,NA,"ZNF707",NA
NA,"AC090150.1",NA,NA,NA,NA,NA,"SLC9A9",NA
NA,"AC002059.1",NA,NA,NA,NA,NA,"RILPL2",NA
NA,"SGTA",NA,NA,NA,NA,NA,"PTPRM",NA
NA,"AL023803.2",NA,NA,NA,NA,NA,"CSF1",NA
NA,"ACSL5",NA,NA,NA,NA,NA,"PRIMPOL",NA
NA,"SLC25A40",NA,NA,NA,NA,NA,"RGS13",NA
NA,"FENDRR",NA,NA,NA,NA,NA,"NPIPA1",NA
NA,"CIDEB",NA,NA,NA,NA,NA,"EXTL2",NA
NA,"RNF187",NA,NA,NA,NA,NA,"EEF1A1",NA
NA,"SLC25A3",NA,NA,NA,NA,NA,"NPC2",NA
NA,"CHP1",NA,NA,NA,NA,NA,"ZNF528-AS1",NA
NA,"WDR74",NA,NA,NA,NA,NA,"RAB42",NA
NA,"ICE2",NA,NA,NA,NA,NA,"GALNT11",NA
NA,"DYNC2H1",NA,NA,NA,NA,NA,"RBM3",NA
NA,"HSPE1",NA,NA,NA,NA,NA,"KAT7",NA
NA,"ZNF883",NA,NA,NA,NA,NA,"ASCC1",NA
NA,"CYP27A1",NA,NA,NA,NA,NA,"COL4A1",NA
NA,"OSBPL6",NA,NA,NA,NA,NA,"ITPRIP",NA
NA,"FLVCR2",NA,NA,NA,NA,NA,"ZNF480",NA
NA,"BCL2L2",NA,NA,NA,NA,NA,"ENDOD1",NA
NA,"PSKH1",NA,NA,NA,NA,NA,"SLITRK4",NA
NA,"ID2",NA,NA,NA,NA,NA,"AL049775.1",NA
NA,"PLD3",NA,NA,NA,NA,NA,"HAND2",NA
NA,"HS3ST3B1",NA,NA,NA,NA,NA,"GAS6",NA
NA,"IFIT1",NA,NA,NA,NA,NA,"CERCAM",NA
NA,"UBQLN2",NA,NA,NA,NA,NA,"CBFA2T2",NA
NA,"SLC31A1",NA,NA,NA,NA,NA,"CDR2",NA
NA,"LRP8",NA,NA,NA,NA,NA,"MZF1-AS1",NA
NA,"SF1",NA,NA,NA,NA,NA,"RASL12",NA
NA,"POT1",NA,NA,NA,NA,NA,"GPAT2",NA
NA,"ARFRP1",NA,NA,NA,NA,NA,"AL603839.3",NA
NA,"TSC22D1",NA,NA,NA,NA,NA,"LBH",NA
NA,"FBN1",NA,NA,NA,NA,NA,"PPM1F",NA
NA,"AP006623.1",NA,NA,NA,NA,NA,"IL12RB2",NA
NA,"ODF2",NA,NA,NA,NA,NA,"RN7SL832P",NA
NA,"PLPPR2",NA,NA,NA,NA,NA,"NR4A3",NA
NA,"MRPL24",NA,NA,NA,NA,NA,"CHST11",NA
NA,"ABHD1",NA,NA,NA,NA,NA,"SRI",NA
NA,"ELF3",NA,NA,NA,NA,NA,"GIPC3",NA
NA,"DPYD",NA,NA,NA,NA,NA,"AP005328.1",NA
NA,"BCKDHB",NA,NA,NA,NA,NA,"AL390728.6",NA
NA,"MFSD4B",NA,NA,NA,NA,NA,"MOSPD3",NA
NA,"OAZ1",NA,NA,NA,NA,NA,"SGO2",NA
NA,"YEATS2",NA,NA,NA,NA,NA,"CEMIP",NA
NA,"MAN1A1",NA,NA,NA,NA,NA,"SNHG26",NA
NA,"PLBD2",NA,NA,NA,NA,NA,"RNF20",NA
NA,"AP005329.3",NA,NA,NA,NA,NA,"AIF1",NA
NA,"NEK5",NA,NA,NA,NA,NA,"AL731537.1",NA
NA,"AP001062.1",NA,NA,NA,NA,NA,"PTCH1",NA
NA,"HGH1",NA,NA,NA,NA,NA,"FGFR1",NA
NA,"SMLR1",NA,NA,NA,NA,NA,"FMOD",NA
NA,"HLA-DRB1",NA,NA,NA,NA,NA,"AC244033.2",NA
NA,"EIF4A1",NA,NA,NA,NA,NA,"ANGPTL1",NA
NA,"AAR2",NA,NA,NA,NA,NA,"ST6GALNAC4",NA
NA,"CPAMD8",NA,NA,NA,NA,NA,"AL512625.1",NA
NA,"BOD1L1",NA,NA,NA,NA,NA,"C1orf56",NA
NA,"NMRAL1",NA,NA,NA,NA,NA,"POMC",NA
NA,"CMKLR1",NA,NA,NA,NA,NA,"DCP1A",NA
NA,"ZNF430",NA,NA,NA,NA,NA,"SRSF8",NA
NA,"PRSS36",NA,NA,NA,NA,NA,"IGKV1-12",NA
NA,"KRTCAP2",NA,NA,NA,NA,NA,"C11orf80",NA
NA,"FAM214A",NA,NA,NA,NA,NA,"FAM171A2",NA
NA,"AC083837.1",NA,NA,NA,NA,NA,"ZNF576",NA
NA,"BHMT2",NA,NA,NA,NA,NA,"ZNF423",NA
NA,"AFAP1",NA,NA,NA,NA,NA,"KCP",NA
NA,"SART1",NA,NA,NA,NA,NA,"CPT1B",NA
NA,"CHD6",NA,NA,NA,NA,NA,"CPVL",NA
NA,"ACAD11",NA,NA,NA,NA,NA,"COMMD6",NA
NA,"PKN1",NA,NA,NA,NA,NA,"BCL10",NA
NA,"MFSD9",NA,NA,NA,NA,NA,"BCL6B",NA
NA,"GSPT2",NA,NA,NA,NA,NA,"SLC9A1",NA
NA,"SNRNP70",NA,NA,NA,NA,NA,"CBS",NA
NA,"GLUD2",NA,NA,NA,NA,NA,"SLC2A11",NA
NA,"TRAT1",NA,NA,NA,NA,NA,"HMGXB3",NA
NA,"STUM",NA,NA,NA,NA,NA,"MIB2",NA
NA,"AKAP13",NA,NA,NA,NA,NA,"CCDC18",NA
NA,"NUCKS1",NA,NA,NA,NA,NA,"PRAG1",NA
NA,"OTC",NA,NA,NA,NA,NA,"RNPC3",NA
NA,"CLCN7",NA,NA,NA,NA,NA,"AL354836.1",NA
NA,"ZNF791",NA,NA,NA,NA,NA,"AC022424.1",NA
NA,"ZDHHC16",NA,NA,NA,NA,NA,"AEBP2",NA
NA,"RPS13",NA,NA,NA,NA,NA,"SCN7A",NA
NA,"ARHGAP32",NA,NA,NA,NA,NA,"VIPAS39",NA
NA,"CYP2J2",NA,NA,NA,NA,NA,"HOXC4",NA
NA,"ALDH7A1",NA,NA,NA,NA,NA,"HMGB2",NA
NA,"PSMC3",NA,NA,NA,NA,NA,"RPAP2",NA
NA,"GALNS",NA,NA,NA,NA,NA,"LRRIQ3",NA
NA,"VIL1",NA,NA,NA,NA,NA,"TTC21A",NA
NA,"PTMA",NA,NA,NA,NA,NA,"CCL5",NA
NA,"GOT2",NA,NA,NA,NA,NA,"TRBC2",NA
NA,"DYNLL2",NA,NA,NA,NA,NA,"AC148476.1",NA
NA,"AKAP12",NA,NA,NA,NA,NA,"MYCBPAP",NA
NA,"ZBTB22",NA,NA,NA,NA,NA,"HTRA4",NA
NA,"NLRC3",NA,NA,NA,NA,NA,"ITPKB",NA
NA,"SLC41A2",NA,NA,NA,NA,NA,"SPTB",NA
NA,"DERL3",NA,NA,NA,NA,NA,"LINC01907",NA
NA,"RPS15A",NA,NA,NA,NA,NA,"PITPNC1",NA
NA,"C12orf4",NA,NA,NA,NA,NA,"ZNF667-AS1",NA
NA,"RPS10",NA,NA,NA,NA,NA,"AL390195.2",NA
NA,"PALM",NA,NA,NA,NA,NA,"CELF2",NA
NA,"SDF4",NA,NA,NA,NA,NA,"TNS1",NA
NA,"TIMP4",NA,NA,NA,NA,NA,"VAMP7",NA
NA,"NAT9",NA,NA,NA,NA,NA,"AL355916.1",NA
NA,"HMCN1",NA,NA,NA,NA,NA,"MIR100HG",NA
NA,"LEPR",NA,NA,NA,NA,NA,"SREK1IP1",NA
NA,"ST3GAL6",NA,NA,NA,NA,NA,"MAGI2-AS3",NA
NA,"KIF18B",NA,NA,NA,NA,NA,"TMEM59L",NA
NA,"TMEM52",NA,NA,NA,NA,NA,"MAPK13",NA
NA,"PACRG",NA,NA,NA,NA,NA,"SELPLG",NA
NA,"ATP6V1F",NA,NA,NA,NA,NA,"RPL7A",NA
NA,"TFPT",NA,NA,NA,NA,NA,"HLA-C",NA
NA,"ZNF425",NA,NA,NA,NA,NA,"HMBOX1",NA
NA,"PHC1",NA,NA,NA,NA,NA,"OPRL1",NA
NA,"XRCC3",NA,NA,NA,NA,NA,"FBXL20",NA
NA,"ARMC8",NA,NA,NA,NA,NA,"AC009133.1",NA
NA,"C18orf25",NA,NA,NA,NA,NA,"AL157394.3",NA
NA,"VSIG2",NA,NA,NA,NA,NA,"GLMN",NA
NA,"ZNF654",NA,NA,NA,NA,NA,"AC025048.2",NA
NA,"MBD3",NA,NA,NA,NA,NA,"LUM",NA
NA,"CAAP1",NA,NA,NA,NA,NA,"KMT2E",NA
NA,"HS1BP3",NA,NA,NA,NA,NA,"SDR42E2",NA
NA,"FAM162A",NA,NA,NA,NA,NA,"PRKCG",NA
NA,"ATG7",NA,NA,NA,NA,NA,"TANK",NA
NA,"DHRS4",NA,NA,NA,NA,NA,"FAM189A2",NA
NA,"IKBKE",NA,NA,NA,NA,NA,"LRP1-AS",NA
NA,"TMEM223",NA,NA,NA,NA,NA,"AGPAT1",NA
NA,"ZBTB25",NA,NA,NA,NA,NA,"SH2D7",NA
NA,"AP2M1",NA,NA,NA,NA,NA,"BGN",NA
NA,"NDUFS8",NA,NA,NA,NA,NA,"INKA2",NA
NA,"GPR137",NA,NA,NA,NA,NA,"GPR18",NA
NA,"AC020659.1",NA,NA,NA,NA,NA,"TMEM202-AS1",NA
NA,"CKB",NA,NA,NA,NA,NA,"PHF2",NA
NA,"MFSD3",NA,NA,NA,NA,NA,"LRRC26",NA
NA,"NKG7",NA,NA,NA,NA,NA,"AC009271.1",NA
NA,"CD63",NA,NA,NA,NA,NA,"FAU",NA
NA,"AL355488.1",NA,NA,NA,NA,NA,"MSANTD3",NA
NA,"EXOSC4",NA,NA,NA,NA,NA,"AC078880.3",NA
NA,"AP1G1",NA,NA,NA,NA,NA,"AC010327.8",NA
NA,"CNDP2",NA,NA,NA,NA,NA,"POLM",NA
NA,"CLDN15",NA,NA,NA,NA,NA,"AC243829.1",NA
NA,"IGHV3-23",NA,NA,NA,NA,NA,"MTCP1",NA
NA,"EXOC6B",NA,NA,NA,NA,NA,"SDAD1",NA
NA,"SSC5D",NA,NA,NA,NA,NA,"HSPB2",NA
NA,"ARHGEF6",NA,NA,NA,NA,NA,"DYM",NA
NA,"RPL35A",NA,NA,NA,NA,NA,"ODF2",NA
NA,"TATDN2",NA,NA,NA,NA,NA,"FAM214B",NA
NA,"SLC25A10",NA,NA,NA,NA,NA,"CCL18",NA
NA,"HNF4A",NA,NA,NA,NA,NA,"TIPARP",NA
NA,"TBK1",NA,NA,NA,NA,NA,"SNX22",NA
NA,"SLC22A3",NA,NA,NA,NA,NA,"KLHL22",NA
NA,"AC022167.4",NA,NA,NA,NA,NA,"RPS7",NA
NA,"NOL6",NA,NA,NA,NA,NA,"NSRP1",NA
NA,"FGFR3",NA,NA,NA,NA,NA,"SPAAR",NA
NA,"TIMM50",NA,NA,NA,NA,NA,"AF129408.1",NA
NA,"IL10RB",NA,NA,NA,NA,NA,"LINC02313",NA
NA,"DPYSL2",NA,NA,NA,NA,NA,"AC126773.4",NA
NA,"IDS",NA,NA,NA,NA,NA,"BIN3",NA
NA,"MIR29B2CHG",NA,NA,NA,NA,NA,"ABCC5",NA
NA,"PRADC1",NA,NA,NA,NA,NA,"NRF1",NA
NA,"ZRANB2",NA,NA,NA,NA,NA,"RALB",NA
NA,"TCF7L2",NA,NA,NA,NA,NA,"SOCS7",NA
NA,"C5orf63",NA,NA,NA,NA,NA,"PLD1",NA
NA,"CYP46A1",NA,NA,NA,NA,NA,"FAM210A",NA
NA,"PTK6",NA,NA,NA,NA,NA,"RFX5",NA
NA,"TUBB",NA,NA,NA,NA,NA,"TMC6",NA
NA,"NIN",NA,NA,NA,NA,NA,"VCAM1",NA
NA,"HCFC1",NA,NA,NA,NA,NA,"TRGV5",NA
NA,"RBM19",NA,NA,NA,NA,NA,"FNIP2",NA
NA,"MIR181A1HG",NA,NA,NA,NA,NA,"TRBC1",NA
NA,"TDP1",NA,NA,NA,NA,NA,"AC004233.3",NA
NA,"CRAT",NA,NA,NA,NA,NA,"PRR22",NA
NA,"TRPM2",NA,NA,NA,NA,NA,"SLC15A3",NA
NA,"CXCL14",NA,NA,NA,NA,NA,"TFEB",NA
NA,"FAM20C",NA,NA,NA,NA,NA,"COL15A1",NA
NA,"SLC25A36",NA,NA,NA,NA,NA,"CTDSP2",NA
NA,"NMUR1",NA,NA,NA,NA,NA,"AL604028.1",NA
NA,"FAM149A",NA,NA,NA,NA,NA,"AL162231.2",NA
NA,"SGIP1",NA,NA,NA,NA,NA,"CAPN3",NA
NA,"FLJ45513",NA,NA,NA,NA,NA,"ZNF670",NA
NA,"H1FX",NA,NA,NA,NA,NA,"EGR3",NA
NA,"SELENOI",NA,NA,NA,NA,NA,"ARRDC2",NA
NA,"CCDC84",NA,NA,NA,NA,NA,"SMARCB1",NA
NA,"HSP90AA1",NA,NA,NA,NA,NA,"ETAA1",NA
NA,"TNKS2",NA,NA,NA,NA,NA,"CXCL12",NA
NA,"FGD4",NA,NA,NA,NA,NA,"RPL9",NA
NA,"FRS2",NA,NA,NA,NA,NA,"SCIN",NA
NA,"YLPM1",NA,NA,NA,NA,NA,"C1orf174",NA
NA,"TBC1D5",NA,NA,NA,NA,NA,"PRSS36",NA
NA,"EGR3",NA,NA,NA,NA,NA,"GAS7",NA
NA,"C2orf27A",NA,NA,NA,NA,NA,"UTS2",NA
NA,"ASXL2",NA,NA,NA,NA,NA,"TRIL",NA
NA,"BRAT1",NA,NA,NA,NA,NA,"CTC1",NA
NA,"DOT1L",NA,NA,NA,NA,NA,"GPR4",NA
NA,"NSUN5",NA,NA,NA,NA,NA,"ASPN",NA
NA,"MYO1C",NA,NA,NA,NA,NA,"ATP5PO",NA
NA,"DMWD",NA,NA,NA,NA,NA,"DHX57",NA
NA,"DHRS7B",NA,NA,NA,NA,NA,"LINC01337",NA
NA,"AC115619.1",NA,NA,NA,NA,NA,"HPRT1",NA
NA,"ATP13A1",NA,NA,NA,NA,NA,"CNTN1",NA
NA,"PAXX",NA,NA,NA,NA,NA,"SMIM30",NA
NA,"FBLN5",NA,NA,NA,NA,NA,"NAP1L5",NA
NA,"SNHG29",NA,NA,NA,NA,NA,"NCK2",NA
NA,"ZFP36L1",NA,NA,NA,NA,NA,"CCN2",NA
NA,"AC008937.3",NA,NA,NA,NA,NA,"ISG20",NA
NA,"POLR1E",NA,NA,NA,NA,NA,"LINC00205",NA
NA,"ATG101",NA,NA,NA,NA,NA,"MARCKS",NA
NA,"FCAMR",NA,NA,NA,NA,NA,"AC023813.3",NA
NA,"DECR2",NA,NA,NA,NA,NA,"Z82243.1",NA
NA,"PTBP1",NA,NA,NA,NA,NA,"SELENON",NA
NA,"ZNF584",NA,NA,NA,NA,NA,"RPS18",NA
NA,"ELOB",NA,NA,NA,NA,NA,"POMGNT2",NA
NA,"MTHFS",NA,NA,NA,NA,NA,"C10orf105",NA
NA,"SLITRK4",NA,NA,NA,NA,NA,"LINC01431",NA
NA,"MED23",NA,NA,NA,NA,NA,"ARL6IP5",NA
NA,"OGFR-AS1",NA,NA,NA,NA,NA,"TNS3",NA
NA,"HCRT",NA,NA,NA,NA,NA,"WDFY4",NA
NA,"INKA1",NA,NA,NA,NA,NA,"ERCC5",NA
NA,"CRADD",NA,NA,NA,NA,NA,"NOTCH3",NA
NA,"PBDC1",NA,NA,NA,NA,NA,"ZNF396",NA
NA,"MXI1",NA,NA,NA,NA,NA,"CCSER2",NA
NA,"RANGAP1",NA,NA,NA,NA,NA,"TRPV2",NA
NA,"BAD",NA,NA,NA,NA,NA,"TTYH3",NA
NA,"MSRA",NA,NA,NA,NA,NA,"KCNJ11",NA
NA,"CORO1C",NA,NA,NA,NA,NA,"RAB6A",NA
NA,"TMEM8A",NA,NA,NA,NA,NA,"TPT1",NA
NA,"ENG",NA,NA,NA,NA,NA,"GIMAP8",NA
NA,"ARSJ",NA,NA,NA,NA,NA,"CD68",NA
NA,"POLDIP2",NA,NA,NA,NA,NA,"JSRP1",NA
NA,"PNKD",NA,NA,NA,NA,NA,"HIST1H4B",NA
NA,"ADARB1",NA,NA,NA,NA,NA,"PTGIS",NA
NA,"HAR1B",NA,NA,NA,NA,NA,"TASP1",NA
NA,"AKR1C4",NA,NA,NA,NA,NA,"CRIP1",NA
NA,"HADHB",NA,NA,NA,NA,NA,"RTL6",NA
NA,"ORC2",NA,NA,NA,NA,NA,"CD84",NA
NA,"HBB",NA,NA,NA,NA,NA,"RUNX1",NA
NA,"SIGLEC14",NA,NA,NA,NA,NA,"PDK4",NA
NA,"ERV3-1",NA,NA,NA,NA,NA,"KLHL3",NA
NA,"EIF5",NA,NA,NA,NA,NA,"EPHB4",NA
NA,"GOLPH3",NA,NA,NA,NA,NA,"AP3M2",NA
NA,"SERINC2",NA,NA,NA,NA,NA,"RAPGEF6",NA
NA,"TMEM141",NA,NA,NA,NA,NA,"ERICH6",NA
NA,"ZNF292",NA,NA,NA,NA,NA,"VASP",NA
NA,"JMJD1C",NA,NA,NA,NA,NA,"CARD8",NA
NA,"SERPINB9",NA,NA,NA,NA,NA,"TCEAL7",NA
NA,"LRCH4",NA,NA,NA,NA,NA,"AL137002.1",NA
NA,"PCSK7",NA,NA,NA,NA,NA,"AC083805.3",NA
NA,"F13B",NA,NA,NA,NA,NA,"RALA",NA
NA,"SLFN13",NA,NA,NA,NA,NA,"LINC00641",NA
NA,"CD99L2",NA,NA,NA,NA,NA,"ZFYVE21",NA
NA,"FBXL18",NA,NA,NA,NA,NA,"ARPC2",NA
NA,"NME2",NA,NA,NA,NA,NA,"LCP1",NA
NA,"AL590822.3",NA,NA,NA,NA,NA,"TMEM168",NA
NA,"NONO",NA,NA,NA,NA,NA,"CD79B",NA
NA,"FAAP20",NA,NA,NA,NA,NA,"FBLN1",NA
NA,"USP20",NA,NA,NA,NA,NA,"CTXN1",NA
NA,"RPL6",NA,NA,NA,NA,NA,"PEBP4",NA
NA,"TUBA8",NA,NA,NA,NA,NA,"USP15",NA
NA,"ANKRD28",NA,NA,NA,NA,NA,"ARHGAP10",NA
NA,"TSTA3",NA,NA,NA,NA,NA,"RPL38",NA
NA,"WNK3",NA,NA,NA,NA,NA,"ANKS1B",NA
NA,"TNRC6C",NA,NA,NA,NA,NA,"TIMP2",NA
NA,"ZNF35",NA,NA,NA,NA,NA,"LINC01831",NA
NA,"FPGS",NA,NA,NA,NA,NA,"LINC01681",NA
NA,"SLC25A13",NA,NA,NA,NA,NA,"ARHGEF19",NA
NA,"METRN",NA,NA,NA,NA,NA,"NUAK1",NA
NA,"LPP",NA,NA,NA,NA,NA,"PARM1",NA
NA,"MAF1",NA,NA,NA,NA,NA,"MEF2D",NA
NA,"PDE4D",NA,NA,NA,NA,NA,"TTC8",NA
NA,"ARHGAP4",NA,NA,NA,NA,NA,"ITGAM",NA
NA,"ARF6",NA,NA,NA,NA,NA,"TWIST1",NA
NA,"FOXP1",NA,NA,NA,NA,NA,"DR1",NA
NA,"ZBTB17",NA,NA,NA,NA,NA,"AL050403.2",NA
NA,"KRT7",NA,NA,NA,NA,NA,"DIAPH3",NA
NA,"POSTN",NA,NA,NA,NA,NA,"MEI1",NA
NA,"SIK2",NA,NA,NA,NA,NA,"RGS18",NA
NA,"BCL7A",NA,NA,NA,NA,NA,"MAP3K1",NA
NA,"PIK3CB",NA,NA,NA,NA,NA,"RBMS1",NA
NA,"RYK",NA,NA,NA,NA,NA,"PLEKHO2",NA
NA,"CENPC",NA,NA,NA,NA,NA,"TRIM56",NA
NA,"WDR45B",NA,NA,NA,NA,NA,"PLEKHN1",NA
NA,"LMNA",NA,NA,NA,NA,NA,"TNFRSF14-AS1",NA
NA,"IQCB1",NA,NA,NA,NA,NA,"PAK1",NA
NA,"SOX6",NA,NA,NA,NA,NA,"FBXL12",NA
NA,"ST5",NA,NA,NA,NA,NA,"MARCH7",NA
NA,"LRATD1",NA,NA,NA,NA,NA,"PCYOX1L",NA
NA,"DIS3L2",NA,NA,NA,NA,NA,"GSTM2",NA
NA,"SURF1",NA,NA,NA,NA,NA,"COL6A1",NA
NA,"MTX2",NA,NA,NA,NA,NA,"PRMT2",NA
NA,"PPP6R2",NA,NA,NA,NA,NA,"IQGAP1",NA
NA,"ZMYM3",NA,NA,NA,NA,NA,"ACTB",NA
NA,"KBTBD2",NA,NA,NA,NA,NA,"LINC01811",NA
NA,"C1orf198",NA,NA,NA,NA,NA,"AC002460.2",NA
NA,"PRPF40A",NA,NA,NA,NA,NA,"C3AR1",NA
NA,"ARRDC1-AS1",NA,NA,NA,NA,NA,"NGF",NA
NA,"CCBE1",NA,NA,NA,NA,NA,"PNMA2",NA
NA,"ANKRD13B",NA,NA,NA,NA,NA,"CASP8AP2",NA
NA,"BACE1-AS",NA,NA,NA,NA,NA,"KCTD10",NA
NA,"PRG4",NA,NA,NA,NA,NA,"PKD2L1",NA
NA,"SEPHS2",NA,NA,NA,NA,NA,"HLA-DMA",NA
NA,"FOXC2",NA,NA,NA,NA,NA,"PDIK1L",NA
NA,"WWP2",NA,NA,NA,NA,NA,"RPS23",NA
NA,"CCDC142",NA,NA,NA,NA,NA,"C3orf18",NA
NA,"AC123768.3",NA,NA,NA,NA,NA,"BIN2",NA
NA,"PET100",NA,NA,NA,NA,NA,"OSMR-AS1",NA
NA,"AC004241.2",NA,NA,NA,NA,NA,"MAP3K3",NA
NA,"PRPF6",NA,NA,NA,NA,NA,"PDE6D",NA
NA,"TOR1AIP1",NA,NA,NA,NA,NA,"AC132192.2",NA
NA,"PPP1R14A",NA,NA,NA,NA,NA,"AC124016.2",NA
NA,"DCDC1",NA,NA,NA,NA,NA,"FILIP1L",NA
NA,"PSMD13",NA,NA,NA,NA,NA,"SPEN",NA
NA,"BAALC",NA,NA,NA,NA,NA,"AC139100.1",NA
NA,"HOXA3",NA,NA,NA,NA,NA,"GNPTAB",NA
NA,"ELOVL5",NA,NA,NA,NA,NA,"LINC02615",NA
NA,"SRRM2",NA,NA,NA,NA,NA,"RBM25",NA
NA,"SEC11C",NA,NA,NA,NA,NA,"CDC25B",NA
NA,"FOSB",NA,NA,NA,NA,NA,"AC093159.1",NA
NA,"RC3H2",NA,NA,NA,NA,NA,"KMT2B",NA
NA,"PEX11A",NA,NA,NA,NA,NA,"AC099518.1",NA
