"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22","Pattern_23","Pattern_24","Pattern_25"
"C5orf24","AC068282.1","MOGAT3",NA,"MARCH2","TAF3","PBK","TXNDC12","GREB1L","HAUS4","CYGB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PSMD8","AC073896.2","PLD3"
"FBXO33","ENAH","FUBP1",NA,"ETV1","ARPC4","GALNT15","ANP32B","AL390067.1","CUL1","AC115619.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RWDD1","SERPINE1","EEF1B2"
"CYP4F3","YWHAB","SNRPD2",NA,"KLHDC8B","AKAP17A","AL035078.1","FRA10AC1","VARS","HSPD1","WEE1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MRPL2","IL17RC","NEK3"
"PHLDA1","PPM1B","FBXO4",NA,"EHD2","CREB3L3","U2SURP","LINC02004","TOB1","GOLGA1","RABL2A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PTGFRN","USP5","PDCD10"
"PGM2","KISS1","PARD3",NA,"SMNDC1","FAAP20","CADM1","SRSF1","KPNA4","ANP32B","AVEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALKBH2","BOP1","FTSJ3"
"ZFAND2B","CCNI","C16orf72",NA,"SULT2A1","BAMBI","ARID5A","RBM46","GBP1","VSTM4","HNF4A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UQCRQ","CHADL","ZNF81"
"PTGR2","KLHL24","PDCD11",NA,"AC012313.1","MAF1","SCRN2","AKIP1","HS3ST1","GLRX2","HIVEP3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRIM16","BRD2","C4B"
"ZFP30","COPRS","YIPF5",NA,"ST20-AS1","AL662890.1","TMEM259","AC145207.5","RNF170","COPA","TNFAIP8L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAB14","ADM","MAGED1"
"TP73","ALAS1","HNRNPUL1",NA,"TLK2","EIF5","KLF15","ABHD10","PRODH2","AL078612.2","CDC42EP4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AL359643.3","AC008443.5","MARCH8"
"FAM126A","TM9SF3","BTN3A1",NA,"PITPNC1","AC012065.3","CD59","MRPL30","BHLHE40","ITGA6","TECR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZBED5-AS1","SMOC1","TCEAL4"
"TSPAN33","HNRNPUL2","SMARCD2",NA,"BMF","ZNF165","SLC39A7","ZCCHC10","ITGB2","TBC1D22A","NUDT9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIEN1","OAS1","HUS1"
"ZNF883","AC084375.1","TCEA1",NA,"RPS14","HMGA1","AC009275.1","PSMA2","ZNF532","MRPL33","ZSWIM8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MARC2","SPTAN1","PI4KB"
"PPP1R2","STYX","KEAP1",NA,"NR2C2AP","DNPEP","CRACR2B","OASL","OAZ3","PTRH1","GADD45GIP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TIMM9","ATP5PB","RNASEH2B"
"CDYL","SEC31B","CMSS1",NA,"IRAK3","PGF","JPT1","CYC1","AC026471.4","ZRANB1","TBC1D9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC008280.3","USP7","RTCB"
"PRCP","C12orf45","MBD3",NA,"NOP58","ZNF74","HBS1L","EDC3","H1F0","NISCH","RARA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SNX6","AC092807.2","DEK"
"F13B","GGCX","USP38",NA,"NUDT2","MRPL19","C1QA","TNFRSF12A","NAA10","UBR5","CTSS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLC25A38","ITGB2","CNIH4"
"RHBDD2","MRPS24","ACADS",NA,"INTS6","TFAM","AGAP3","BLOC1S1","MAP1A","CASC3","PNRC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BTN3A1","C15orf62","TECR"
"SSBP3","PBXIP1","CD68",NA,"GIMAP2","SORL1","SIGIRR","AL449106.1","ANO6","PDE3B","ALDH7A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GLYATL1","CFL2","ZNF142"
"AC105137.2","CNOT9","ALCAM",NA,"ANKRD49","GPAT4","PDS5A","MICOS13","SF3A3","TCAIM","MAT1A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GADD45A","PTOV1","CRYL1"
"PAM16","TRNP1","ZNF217",NA,"KRIT1","BRD2","CORT","SRSF10","TOP2B","KLF3","ATG13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARPC2","GORASP2","NENF"
"AATF","SUPT4H1","AK3",NA,"WWTR1","TAF10","NR2F1","AC016355.1","MOV10","OCEL1","ASB7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IARS","UBE2H","GCAT"
"PFDN6","BCKDHB","DPY19L4",NA,"SMIM8","APEH","VSIR","RGS3","STIM1","ABHD6","WAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RCAN1","PLLP","NUB1"
"NDN","ARFIP2","ABCG8",NA,"EEF1A1","DCLRE1A","HSPA1B","OXR1","LRRC61","SLC25A33","SERPINA10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PPP1R7","SSNA1","OAS1"
"AKIP1","HUWE1","SFXN5",NA,"MYO18A","ATP6V0E2","ISG15","CCDC47","AL355574.1","COPS2","LAMP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KCNJ8","CXCR3","CLDN3"
"MARCH1","PLTP","NLRC5",NA,"FIGNL1","STIP1","TSPAN33","RNF139","FAM3A","UBE2J1","PGAP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EIF3G","FUNDC2","SPNS1"
"KRT8","FAHD2A","PANK2",NA,"PDE11A","FAAP100","RDH5","ADIPOR2","CNNM3","PER3","PIGK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COL6A1","PPM1A","BATF3"
"NDUFB2","U2AF2","MRPL47",NA,"RPL10","RIPK4","HMGCR","STX16","PROSER3","COQ9","ACTR1A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LINC01730","SPOP","RALGPS2"
"HARS","SNX18","U2SURP",NA,"AQP7","SKP1","FZD5","COX7B","SF3B5","DEPDC7","IRF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TUBB4B","INSC","TESC"
"SPDYE16","TMEM97","CCDC107",NA,"TDRKH","FHL1","DENR","LIN9","ARL6","SH3GLB1","IFIT3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BRD7","MAPK1","NSA2"
"SLC22A10","ACTN4","TBC1D1",NA,"FAM102A","CFL2","FBLN5","NUBP2","SMIM1","AMIGO1","LGALS8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BCCIP","EZR","CHPT1"
"ZNF138","ACOT7","MAGI1",NA,"MRPS6","HJURP","STEAP3","PLBD2","TMEM14A","GPRC5D-AS1","MTPN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GAA","BTF3","GNL3L"
"ZNF438","KIF18A","SLC12A4",NA,"MEG3","PER1","ABHD14B","PQBP1","RUNX2","AP1B1","PSMD14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PSMG2","EIF3E","BACH1"
"GINM1","CHRD","ATP5MG",NA,"CCDC24","MINPP1","PRKX","AC010336.2","NOD1","CHTOP","MPG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAB32","GHR","TM9SF2"
"SRSF7","HEATR1","ZNF511",NA,"CHMP4B","PNPLA3","SNRNP70","SEC11A","SWI5","RRP12","HLCS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IQSEC1","PITPNB","SNTA1"
"ZNF441","CAPRIN1","PEX26",NA,"AP001033.2","VIL1","PRKCSH","BAIAP2L2","IAH1","HIST1H2AC","SLC39A7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AGAP3","C21orf62-AS1","BDH1"
"TXNDC11","FAM104A","GDA",NA,"TFB1M","MPZL1","SRD5A1","TNFAIP8","TCEA2","SF3B2","JPT2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POLR2K","LAMA5","CYP2B6"
"CCT5","XAF1","MAP2K5",NA,"CINP","SLC25A22","LRPPRC","PAIP1","UBA2","SLC7A2","ADM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RBBP4","ENOSF1","AC012603.1"
"AC093274.1","SYMPK","TSFM",NA,"FGD4","INO80E","AL035458.2","DEF8","SORCS2","ADH5","WLS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHRAC1","HLA-DPB1","MPV17L"
"COPB2","ASAH2","CLINT1",NA,"TOLLIP-AS1","NAPA-AS1","CREB3","DPY30","NOMO3","CYBC1","PCBP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HS6ST1","UBE2V1","FKBP2"
"HNRNPH3","TOP2B","GGNBP2",NA,"FAM53A","CAVIN1","CCNY","MANF","WDR46","IMP3","MARC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FAM162A","CYBRD1","SLC25A18"
"Z93241.1","DLGAP1-AS1","GABARAP",NA,"HPX","ANXA6","AC008760.2","DCTN1","RPL7","CYB5R1","SNAI2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USP22","NREP","FAM3B"
"U2AF2","ZNF182","COMTD1",NA,"PROCA1","CNIH4","AC087294.1","SLC35F5","NIT2","CTDSP2","FRA10AC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RDH13",NA,"TTC7B"
"BOLA2B","TFPI","ATXN7L3B",NA,"RNF167","LPP","RXRB","DHRSX","LPP","RPL21","EMC6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOLPH3L",NA,"UGP2"
"MACF1","GLUD1","KCTD3",NA,"RPL28","SPSB1","KISS1","MRPS16","CTSZ","NCOR1","TIMM50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GRHPR",NA,"IGF2R"
"IGF2BP2","GOLIM4","TMEM250",NA,"SNRNP25","ABCG5","HOMER2","CTDSP2","CDK20","RNF149","DNAJB2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLK3",NA,"MPPE1"
"AC243772.2","ZGPAT","MRPS30",NA,"CYP4F3","TP53I13","TBC1D17","SLC50A1","PIK3R1","GNB5","CAVIN2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DDX59-AS1",NA,"RBBP4"
"ZFP64","AC011978.2","SETD5",NA,"LIG4","SLC20A2","AC007823.1","TPRA1","AKAP17A","ZNRD2","CCS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTC9",NA,"RPSA"
"RAB14","CSKMT","FCSK",NA,"CTDP1","TPI1","DCAF8","TSTD3","TAT","SUPT7L","GBP4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CRKL",NA,"RO60"
"SRSF9","FADS2","GAPVD1",NA,"CYTH3","CTNNA1","VKORC1","MDGA1","ALG1","HSBP1L1","VPS37A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DLG1",NA,"SLC35A3"
"UBXN2B","MRPL51","GOLGA4",NA,"ADPRHL2","YIPF6","SNAP47","COX6C","AC005550.2","NASP","RAMP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEC61B",NA,"LINC01703"
"TACO1","DDX54","SLU7",NA,"YPEL3","RELA","ERICH4","EBPL","TUSC2","SLC44A1","GOLGA2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LINC02716",NA,"SIVA1"
"ZDHHC11","FAM86C1","ATP5MD",NA,"RAB8B","PTGFRN","CCND1","DARS","AL021707.2","MRPL52","SS18L2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPL27A",NA,"AC006483.2"
"AC107071.1","SERPINB6","SIGLEC15",NA,"RASA1","REXO4","TCEA1","NPC2","U2AF2","NOP16","CPNE1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SARS2",NA,"ABHD16A"
"AC010996.1","SLC35A1","DNM1L",NA,"CDCA8","RUNX1","CDC42EP1","CSTB","CUL1","SLC37A4","CXXC5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CPTP",NA,"ZNF524"
"CNTNAP3","RAB24","ZDHHC12",NA,"SPAG1","CCDC28B","ZBED2","LARP1","UBE2V1","LSM7","ATIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C7orf50",NA,"DYNC1I2"
"SLC6A1","SLC6A1","HTT",NA,"LCP2","HSPA5","DUT","LAPTM4A","HNRNPA3","ATAD3A","ZNF771",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TMEM64",NA,"RPL29"
"ARHGAP42","AC005288.1","LIG3",NA,"PRKDC","NDUFB4","AC021321.1","SOWAHC","TIRAP","ACBD3","VBP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC022706.1",NA,"MRPL13"
"BAIAP2","PTGR2","HERC5",NA,"FAM83D","ZNF438","NFATC3","LINC01504","ENPP7","MYL12A","PDE8A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTN",NA,"PSD4"
"BET1L","MPI","URI1",NA,"DCAF15","SNAP47","GSPT1","COPS5","SLC25A24","LYSMD2","PCF11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RPL18A",NA,"SCLT1"
"C16orf70","SLC25A53","DENND1B",NA,"TBC1D13","COMMD3","AC008393.1","SIAH2","HCCS","H2AFY","WDR24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCLY",NA,"AL162431.1"
"ADH5","RSPO2","ZNF524",NA,"GXYLT1","DPM1","NDUFB7","EIF3D","SCN4A","NOMO1","ANKRD46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPD52L2",NA,"WEE1"
"CIAO2B","SLC10A1","PEX19",NA,"PLCB1","NEDD1","STIP1","HGSNAT","PIK3R2","SLC38A3","CLDN15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MCCC2",NA,"CCT2"
"AC084036.1","UBE2N","TEN1",NA,"BX322562.1","MROH6","SLC23A3","AP001269.4","ATP6V1D","ADCY1","PUSL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NAXE",NA,"FURIN"
"PPOX","RBMS1","FCGRT",NA,"C8G","DEF8","FGF22","ADM5","HSPA6","ISCU","CS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALDH9A1",NA,"UBQLN1"
"AGFG2","DAP3","ARL8B",NA,"ASTE1","TMEM253","SERPINE2","HDAC4","MRPL51","CHST15","TANGO6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PROSER3",NA,"PSAT1"
"PAXX","NAGLU","RAB3GAP2",NA,"CEP131","GBP7","B3GALT6","MRPL51","UBE2L6","ACOT7","FBXO17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TAF1A",NA,"GFER"
"GFI1","ZNF33A","ZFAND2B",NA,"DAXX","RUVBL2","STAP2","ABCB4","CAP1","TLK1","MRPS21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC087393.2",NA,"TGM2"
"CCL14","SHB","EIF3J",NA,"DVL2","ZNF280C","LRP5","ZIC5","VASH2","DCPS","TBCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AC080013.1",NA,"DUSP16"
"CTPS1","SACS","EVI5",NA,"RAP1GAP","CLDN15","FNDC10","MTX1","GBA","NUP62","PAK2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALDH7A1",NA,"ETNPPL"
"VSTM4","TAX1BP1","DCAF12",NA,"RBM41","EMC3","PHACTR2","AC244100.4","YOD1","MYNN","PLCXD2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UBE2E3",NA,"GRPEL1"
"PSMD12","AC007277.1","MLX",NA,"MAFB","YIF1A","MBP","LRSAM1","UFC1","LATS1","ATF2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UCKL1",NA,"RNF122"
"BRD3OS","MASP2","GLG1",NA,"XPO7","ARHGEF17","KLHL7-DT","C2orf72","MED29","ARL6IP5","DMAP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LIME1",NA,"CTDSPL"
"CRELD1","LARP7","STMN1",NA,"SPATC1L","ICAM1","RBM42","WBP11","ACVR1B","SIPA1L1","CANT1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USP40",NA,"ADIPOR1"
"SMC3","FUNDC2","RAP1GAP",NA,"LINC00662","PON2","MTIF2","SLIRP","PPP2CB","DENR","TMEM50B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HDHD2",NA,"PLA2G2A"
"RNASEH2C","ACTR1A","CREBRF",NA,"SOCS6","ERO1B","EID2B","GREB1L","LINC002481","PPP1R37","PLEKHJ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPHB6",NA,"H1F0"
"VIRMA","PPP1R7","RANBP10",NA,"CHSY1","HYOU1","CSNK1A1","TMED4","SSNA1","IPO4","PYGB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AL449106.1",NA,"ETFRF1"
"AC068506.1","C19orf33","GAK",NA,"SIT1","MLXIPL","MINPP1","APOL1","KLHL7","SLC9B2","LRG1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAP1A",NA,"FAM217B"
"AC008969.1","RBL1","SIRT3",NA,"CCDC14","HEBP2","FCRL6","CREB3","PCMTD2","ZNF746","ZNF524",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EDEM1",NA,"EPS8"
"SLC17A5","ACOT12","KIF21A",NA,"SLC5A2","PRKAG1","GLRX3","TMEM106C","TRIP13","CD74","STARD5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KIF15",NA,"MOSMO"
"AC025181.2","ADAM15","IGFBP7",NA,"MED6","DTHD1","AL137796.1","PSMA5","TGOLN2","PARP12","MPV17L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RERE",NA,"NDUFB1"
"TMEM198","VPS26A","EI24",NA,"FGL1","MR1","TM4SF1","KLHDC3","HNRNPR","NDEL1","GSR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FUOM",NA,"PRRC2A"
"C1orf50","LTBP1","TMOD3",NA,"APOC4","LINC02754","LINGO1","GPBP1L1","ANKRD10","ZFR","HTRA1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLC44A1",NA,"ZMAT3"
"FXR1","PGRMC1","QKI",NA,"FN1","NECAP2","CDK5RAP3","SLC23A2","FKBP10","MAP3K2","TCP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SNRPC",NA,"ABCG5"
"EPB41L4A","EFNA3","LAMA5",NA,"BX649601.1","ACSM1","SUMF1","HLA-E","THAP7-AS1","DCAF7","VSTM4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NUCB2",NA,"POLRMT"
"EIF4B","SLC3A1","SNRNP200",NA,"LINC01428","SRP72","GPC1","WARS","SNX1","LURAP1L","PIGQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APOL3",NA,"FOS"
"COX4I1","HTATSF1","TTPA",NA,"AL512353.1","CES5A","LAYN","PARP4","AC008914.1","TMEM115","CKS1B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CYGB",NA,"SMG1"
"COG4","TOP1MT","GHR",NA,"C5orf66","AL360270.3","TRAT1","TMEM50B","MALSU1","CEBPG","AL138995.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WNT5B",NA,"PHC2"
"ADAD2","SUB1","DYNLL1",NA,"AL109627.1","SRM","FABP4","NCSTN","TUBB3","MTRNR2L12","TSTD1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SMIM19",NA,"TRIOBP"
"NENF","TMPRSS2","ARHGDIA",NA,"EIF2B3","PCMTD2","MIIP","SCPEP1","AL138762.1","BAZ1B","TRIP12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MMP24OS",NA,"EEPD1"
"AC005911.1","TRAPPC9","MSL1",NA,"OGFRL1","RRP1","ABCC1","GSR","DDX54","UBA2","DHRS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INPP1",NA,"SSNA1"
"MAP1B","LMNB1","SYTL5",NA,"IKBKE","POLR2K","SMIM29","AC027808.2","VPS51","ABCD1","GDI2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RBM17",NA,"PSMB3"
"TRIM32","GBP4","C2orf69",NA,"KALRN","AK1","MCTS1","ARHGDIA","PUM2","RDH11","CDC42SE1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"URM1",NA,"AL023284.4"
"AC053503.5","ARL6IP5","COA5",NA,"TMEM131","AC107884.1","PDXDC1","MLYCD","MTHFD1","CROT","TIMM8A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PLGLB1",NA,"MDK"
"IRF6","TPRN","ATL3",NA,"THYN1","LSR","COX5A","AC114341.1","FBXL16","MAP2K5","CDK5RAP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALDH5A1",NA,"ALCAM"
"LRRC73","MACROD1","ELOVL5",NA,"CEP170B","EXOC4","EBNA1BP2","PTGES3","PECAM1","SLC35A3","SLC35D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PTMA",NA,"SNAP47"
"SH3BGRL2","TIMM10B","TMEM161A",NA,"TMPO-AS1","SHBG","PABPC4","NDUFB10","LINC01358","CXCL9","TCF7L2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAMC1",NA,"SLC39A11"
"AC009570.1","AL122023.1","NABP2",NA,"MED12L","AL161665.1",NA,"TRAF7","METAP1","PDPK1","TRIAP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C5orf66",NA,"SHROOM4"
"AL138478.1","SOCS4","GYS2",NA,"BCL9L","FZD4",NA,"SEPTIN7","ROMO1","C6orf89","ITPA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CMTM6",NA,"PYROXD2"
"FAM53A","AMBRA1","HLA-DMA",NA,"DCUN1D4","ASGR2",NA,"PHKB","SLC39A14","GJB2","CAST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TMED7",NA,"TAF10"
"NOLC1","SRSF6","SLBP",NA,"SNX24","PTPRF",NA,"DKK3","DHRS4","LDLRAD4","DHRS3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NCOA2",NA,"PRRC2C"
"POLRMT","ESPL1","MRPL33",NA,"AC092718.4","FNDC3B",NA,"ECHDC3","AL358075.2","NELFA","EIF4EBP3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALAS1",NA,"RPL17"
"ITGB1","NFATC3","HDGF",NA,"KPNA2","AGTR1",NA,"METTL7B","TMEM106B","SRCAP","ACTR3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FEM1C",NA,"HSPG2"
"SETX","ZSCAN12","INSIG2",NA,"ITIH2","CTDSP2",NA,"SRP9","CLK1","DNAJB6","SYNCRIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOL7",NA,"PNKP"
"PPA1","DGCR2","NOXA1",NA,"RABGEF1","TESPA1",NA,"YES1","LAMC1","SYNGR1","EARS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TCEA1",NA,"RPP25L"
"GOLT1A","SCPEP1","CRBN",NA,"CDH5","MAP1LC3B2",NA,"AC012467.2","ATG9A","CARD10","SLC25A46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PPP1R12C",NA,"CDK2AP1"
"AC231981.1","TENM1","TARBP1",NA,"UBE2W","DAP",NA,"RPS3A","NDUFA9","KIF1B","PLEKHA1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EBLN2",NA,"ABHD12"
"TOE1","CANX","EPDR1",NA,"PI4KA","C8A",NA,"PPP1CA","MRPS26","AMBRA1","COL4A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRMT5",NA,"AC096586.1"
"MGLL","CRACR2A","METTL27",NA,"FLT1","PSMA1",NA,"CHRD","GATD3A","TNFAIP1","G3BP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NDUFV3",NA,"FBXO9"
"GOLGA4","FRZB","PAM16",NA,"SH2D3C","OIP5-AS1",NA,"RHOC","PPP6R3","EHBP1","OAS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RBMX",NA,"UAP1"
"AL627309.1","PSAT1","PFKFB1",NA,"AC009974.1","AC007405.1",NA,"AC107884.1","UBE2G1","UXS1","TMEM245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATP5ME",NA,"VNN3"
"EEF2","DDI2","AL358472.5",NA,"ADCY1","ASAH1",NA,"CALM2","BLVRA","THY1","PRPF6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RAB11B",NA,"LEAP2"
"KDELR1","DCTPP1","FTSJ3",NA,"APPL2","HIGD2A",NA,"BUB3","GCAT","VPS72","INAFM1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C8orf33",NA,"ARL6IP1"
"IKZF1","BROX","TPD52",NA,"SUGP2","MRPL45",NA,"UBD","C3orf70","SNAP29","C5orf15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TBC1D7",NA,"EMC9"
"BBS5","ATP5F1B","CSTF2T",NA,"RMDN3","CPTP",NA,"ACTG2","ERGIC1","METTL26","JUN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ZNF585A",NA,"PLCB4"
"TMUB2","RABAC1","ENSA",NA,"RPUSD3","CBR1",NA,"LARP7","SLC22A18","TRIP6","MIR762HG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TMEM258",NA,"CKAP5"
"LINC01687","PPP2CB","SPTAN1",NA,"AL359232.1","THAP5",NA,"CCL14","CBR4","SLC16A1","RBBP7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHMP6",NA,"SNX5"
"NR1I3","NFYB","DGAT2",NA,"TCF25","ID2-AS1",NA,"PRKAR1A","BX539320.1","BAG6","SEC14L3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATP13A3",NA,"SNHG7"
"EDRF1-AS1","RTN4","CERS4",NA,"CCDC198","ARRB2",NA,"DDX41","AP001160.4","GGPS1","CETN2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CACYBP",NA,"SLC9A3R1"
