"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22","Pattern_23","Pattern_24"
"EDARADD","MAN2B1",NA,NA,"FBXO5",NA,"ATL2",NA,NA,NA,NA,NA,NA,NA,NA,"PGAP2","AC066612.1",NA,"FBXL3",NA,NA,"ANGPTL6","PFKFB1","ARL6"
"PJA1","SMG7",NA,NA,"MSL3",NA,"LINC01093",NA,NA,NA,NA,NA,NA,NA,NA,"NAB2","THAP7",NA,"TMED1",NA,NA,"PTK2B","ITPRIPL2","KIAA1328"
"ETFA","GSKIP",NA,NA,"MRPL42",NA,"MRVI1",NA,NA,NA,NA,NA,NA,NA,NA,"LETM1","AC006249.1",NA,"PAQR9",NA,NA,"LSM5","FAM160B1","DYNC2H1"
"AL080248.1","ALYREF",NA,NA,"PYGB",NA,"CIDEB",NA,NA,NA,NA,NA,NA,NA,NA,"PBK","CDC37",NA,"PPM1K",NA,NA,"PACS2","MRVI1","KCNJ12"
"CUL5","SLU7",NA,NA,"RRAD",NA,"DAP3",NA,NA,NA,NA,NA,NA,NA,NA,"UCHL5","F11",NA,"PACC1",NA,NA,"BCHE","ABHD3","ADAM12"
"NADK","LDHC",NA,NA,"CTBS",NA,"MSMO1",NA,NA,NA,NA,NA,NA,NA,NA,"SCOC","OGT",NA,"AC009093.6",NA,NA,"MLLT6","CDKN1B","CBWD2"
"SLAMF7","BOLA3",NA,NA,"TAGLN",NA,"AC026741.1",NA,NA,NA,NA,NA,NA,NA,NA,"DDX18","RAPGEF1",NA,"RUSC1-AS1",NA,NA,"DGLUCY","DENND1A","HAO1"
"VPS4A","YAF2",NA,NA,"OS9",NA,"ADGRA3",NA,NA,NA,NA,NA,NA,NA,NA,"ZNF709","RCAN1",NA,"SQLE",NA,NA,"MGRN1","MCCC2","C4B"
"PILRB","UBAP1",NA,NA,"PRMT2",NA,"SF3A2",NA,NA,NA,NA,NA,NA,NA,NA,"SORD","SZRD1",NA,"DCTN2",NA,NA,"SRSF7","GPAT3","RNF38"
"BCKDHB","GNMT",NA,NA,"BIRC5",NA,"MT1F",NA,NA,NA,NA,NA,NA,NA,NA,"MED22","LRRC40",NA,"NAGS",NA,NA,"PAFAH2","TFG","TM4SF4"
"TPMT","ANKRD9",NA,NA,"TAF5L",NA,"ETNPPL",NA,NA,NA,NA,NA,NA,NA,NA,"ZBTB39","TNC",NA,"PRDX4",NA,NA,"PSMA1","SNX19","MT1F"
"UBR4","ZKSCAN1",NA,NA,"IFI27",NA,"EMC3",NA,NA,NA,NA,NA,NA,NA,NA,"AL592494.2","POMP",NA,"EEPD1",NA,NA,"SLC25A23","MTRES1","TP53TG1"
"AC096992.2","CDK9",NA,NA,"GABARAP",NA,"ALAS1",NA,NA,NA,NA,NA,NA,NA,NA,"PMVK","GGA3",NA,"RNF40",NA,NA,"DENND1A","CDK9","RRP12"
"GDF15","MBNL2",NA,NA,"TSPAN33",NA,"LARP4B",NA,NA,NA,NA,NA,NA,NA,NA,"TSSK6","MCM3AP",NA,"DYNLRB1",NA,NA,"ZMYND10","PTK2","DOCK9"
"MRTFA","BAP1",NA,NA,"STOX1",NA,"FADS1",NA,NA,NA,NA,NA,NA,NA,NA,"USP15","AC022210.2",NA,"OTUB1",NA,NA,"SAE1","SLC46A3","ABCC10"
"RPS27L","ATAD1",NA,NA,"F2R",NA,"GOLGA5",NA,NA,NA,NA,NA,NA,NA,NA,"DERL2","SIRT1",NA,"LPL",NA,NA,"HBP1","OXA1L","AC018645.3"
"DPM3","CERS6",NA,NA,"GPR37",NA,"TBX1",NA,NA,NA,NA,NA,NA,NA,NA,"MYO1E","ZNF229",NA,"AC021739.2",NA,NA,"TFR2","TPD52","N4BP2"
"PSEN1","MSL2",NA,NA,"CITED4",NA,"KAT2A",NA,NA,NA,NA,NA,NA,NA,NA,"EIF4E","SAE1",NA,"FBXW8",NA,NA,"TFDP1","CDC42EP1","ITIH3"
"AL121929.3","NCOR1",NA,NA,"OLFML3",NA,"TAFA2",NA,NA,NA,NA,NA,NA,NA,NA,"LINC02478","ASB2",NA,"SNAPC5",NA,NA,"MRPL12","PHLPP1","PPTC7"
"SFXN1","STAT5A",NA,NA,"MRPS6",NA,"VPS51",NA,NA,NA,NA,NA,NA,NA,NA,"STRADB","IGHG2",NA,"ENO1",NA,NA,"MICALL2","SKIV2L","SEPSECS"
"KLF6","CBX3",NA,NA,"IGSF3",NA,"FAM120AOS",NA,NA,NA,NA,NA,NA,NA,NA,"BCDIN3D","HNRNPH2",NA,"CHMP2A",NA,NA,"RECQL","OXSM","CFAP69"
"KLHL24","PNKP",NA,NA,"NUP133",NA,"COX18",NA,NA,NA,NA,NA,NA,NA,NA,"EDEM3","RFK",NA,"LRPAP1",NA,NA,"LCOR","ENDOG","ACAA1"
"DICER1","ATXN7L3",NA,NA,"NFYC",NA,"GPS2",NA,NA,NA,NA,NA,NA,NA,NA,"MYBBP1A","FRA10AC1",NA,"TXNDC17",NA,NA,"UXS1","OTUD4","NCBP3"
"CES3","STRAP",NA,NA,"NEK9",NA,"RAN",NA,NA,NA,NA,NA,NA,NA,NA,"NPEPPS","SYMPK",NA,"ART4",NA,NA,"WDR61","LAMTOR3","PAK6"
"AMDHD1","TTC37",NA,NA,"NPC1",NA,"GLYAT",NA,NA,NA,NA,NA,NA,NA,NA,"NRP1","SPEF1",NA,"NPB",NA,NA,"PIM2","PLXNB1","G6PC"
"CNTNAP1","AC113139.1",NA,NA,"TENM3",NA,"SLC6A16",NA,NA,NA,NA,NA,NA,NA,NA,"AP000704.1","IGFBP2",NA,"HECTD3",NA,NA,"PRCP","ZDHHC8","STX2"
"SLIRP","MRPL37",NA,NA,"CD8A",NA,"TNRC18",NA,NA,NA,NA,NA,NA,NA,NA,"FASTK","GP2",NA,"SYMPK",NA,NA,"ASPG","GNE","LINC01127"
"AKR7A3","TIMM23",NA,NA,"MBNL1",NA,"CUX1",NA,NA,NA,NA,NA,NA,NA,NA,"MMGT1","ZRANB1",NA,"SELENOO",NA,NA,"PCK2","DDX55","HEATR1"
"AKAP13","GTF2I",NA,NA,"PCMT1",NA,"TOMM5",NA,NA,NA,NA,NA,NA,NA,NA,"PNN","PTPN3",NA,"OGT",NA,NA,"TAT","TPST2","CHRDL2"
"BCOR","PITPNB",NA,NA,"ALKBH4",NA,"TRIM8",NA,NA,NA,NA,NA,NA,NA,NA,"ARRDC2","CLDN2",NA,"KDELR2",NA,NA,"CCNY","FAM160A2","C8B"
"SEPTIN2","AL354872.2",NA,NA,"DPH3",NA,"BCCIP",NA,NA,NA,NA,NA,NA,NA,NA,"BAP1","RPP14",NA,"GTF2H5",NA,NA,"EMP3","PNPLA4","SIMC1"
"RPUSD3","SHARPIN",NA,NA,"MRPS11",NA,"RMDN2",NA,NA,NA,NA,NA,NA,NA,NA,"POLG","RRAS2",NA,"SERPINB1",NA,NA,"DOLPP1","POLR2E","SERPINF1"
"ADIPOR2","TNFRSF12A",NA,NA,"NDUFB5",NA,"SPRYD4",NA,NA,NA,NA,NA,NA,NA,NA,"FERMT2","ZFP91",NA,"ANKZF1",NA,NA,"RPA3","FAM20A","ITIH1"
"GPRC5B","SLC7A2",NA,NA,"POGZ",NA,"CLSTN3",NA,NA,NA,NA,NA,NA,NA,NA,"MRPS16","NUMA1",NA,"SLC2A3",NA,NA,"GALK1","SELENOW","C1QTNF7"
"TNS1","EIF4A2",NA,NA,"DHRS12",NA,"FMO4",NA,NA,NA,NA,NA,NA,NA,NA,"MVP","WWC2",NA,"CBX4",NA,NA,"PITPNA","TBXA2R","OAS3"
"EIF6","CRYZL1",NA,NA,"IRF2BPL",NA,"MOB2",NA,NA,NA,NA,NA,NA,NA,NA,"ITIH2","SNW1",NA,"AC004593.3",NA,NA,"MAP7","ZBTB44","UBXN2B"
"ORMDL1","STYXL1",NA,NA,"RABEPK",NA,"AC106881.1",NA,NA,NA,NA,NA,NA,NA,NA,"LBR","HECTD1",NA,"YWHAH",NA,NA,"RCOR3","BAZ1A","BRICD5"
"HNRNPA1","OSGIN2",NA,NA,"PHAX",NA,"SEC14L2",NA,NA,NA,NA,NA,NA,NA,NA,"ZBTB18","AC022467.1",NA,"GOLGA7",NA,NA,"GMFB","BRD7","CCDC73"
"AQP3","SLC27A5",NA,NA,"EIF2B4",NA,"IL7",NA,NA,NA,NA,NA,NA,NA,NA,"NCOR1","RFC1",NA,"PLD3",NA,NA,"DNAJB4","LAMA2","LYRM4"
"ABCA7","COQ5",NA,NA,"COL3A1",NA,"AVPI1",NA,NA,NA,NA,NA,NA,NA,NA,"MAEA","BPHL",NA,"E2F2",NA,NA,"EGR1","PPP2R3C","FBXO27"
"STAG2","DDX41",NA,NA,"USP15",NA,"PPP2R3C",NA,NA,NA,NA,NA,NA,NA,NA,"ECHDC2","RAB4A",NA,"TPP2",NA,NA,"MRTFA","GBP1","ACSS3"
"BAP1","L3HYPDH",NA,NA,"RCN3",NA,"RNASET2",NA,NA,NA,NA,NA,NA,NA,NA,"RHOQ","UBALD2",NA,"BACH1",NA,NA,"PTDSS2","CTTNBP2NL","MAGED1"
"C1orf162","AADAC",NA,NA,"DCAF7",NA,"HCFC1R1",NA,NA,NA,NA,NA,NA,NA,NA,"HSBP1L1","PRMT5",NA,"AIMP1",NA,NA,"SEC14L1","HMOX1","CTTNBP2"
"LYNX1","TMEM205",NA,NA,"ZSWIM8",NA,"TOMM20",NA,NA,NA,NA,NA,NA,NA,NA,"MTFP1","B4GALT1",NA,"SLC30A10",NA,NA,"PXK","APEH","C1GALT1C1"
"OAZ2","PCTP",NA,NA,"PIP5K1C",NA,"PSMD4",NA,NA,NA,NA,NA,NA,NA,NA,"FRRS1","SSR4",NA,"FIP1L1",NA,NA,"SURF2","KRT10","SERPINC1"
"ZFAND3","CTBS",NA,NA,"JOSD1",NA,"SUCLA2",NA,NA,NA,NA,NA,NA,NA,NA,"SMIM20","SHLD2",NA,"POMT1",NA,NA,"GYG1","LMBRD2","DSG2"
"BASP1","ARL6IP5",NA,NA,"CHRDL1",NA,"NUDT19",NA,NA,NA,NA,NA,NA,NA,NA,"CHKB-DT","UBE4A",NA,"PRAP1",NA,NA,"ALDOC","AIMP2","AC073111.4"
"GPNMB","BLVRB",NA,NA,"CTBP1",NA,"FAM210B",NA,NA,NA,NA,NA,NA,NA,NA,"CDK3","THBD",NA,"COPZ1",NA,NA,"ALAD","ACIN1","CCDC183"
"MMP14","TBC1D1",NA,NA,"MAP3K13",NA,"EHMT2",NA,NA,NA,NA,NA,NA,NA,NA,"KIF4A","GHDC",NA,"VEGFA",NA,NA,"ABCB4","PPP1R12A","HIST3H2A"
"FRA10AC1","UPP1",NA,NA,"PSMG1",NA,"CCL15",NA,NA,NA,NA,NA,NA,NA,NA,"HUS1","ABCB10",NA,"AC104809.2",NA,NA,"CD83","MGST2","GLDN"
"REXO5","CENPE",NA,NA,"NOL7",NA,"TSLP",NA,NA,NA,NA,NA,NA,NA,NA,"MRPS17","MINPP1",NA,"CDIP1",NA,NA,"MTCH2","RHBDD1","BARD1"
"TIMM8A","YIPF1",NA,NA,"DPT",NA,"IRF2BP2",NA,NA,NA,NA,NA,NA,NA,NA,"LINC02028","C11orf1",NA,"EFTUD2",NA,NA,"TBCA","SLC33A1","ACMSD"
"CBLB","RB1",NA,NA,"ACP5",NA,"IER5L",NA,NA,NA,NA,NA,NA,NA,NA,"HINT2","LIMK2",NA,"VPS4B",NA,NA,"SUCO","ELOC","RAB26"
"SUCLG1","MTCH2",NA,NA,"TSC22D2",NA,"SLC30A5",NA,NA,NA,NA,NA,NA,NA,NA,"NFIL3","ASPG",NA,"MASP2",NA,NA,"PGLYRP2","THAP4","ARL17B"
"SMARCE1","CCND2",NA,NA,"IMPA2",NA,"TMEM50B",NA,NA,NA,NA,NA,NA,NA,NA,"UBE2J1","RAB17",NA,"TAF11",NA,NA,"MRTFB","NOC2L","ESRP2"
"ARL4A","ERBIN",NA,NA,"INPP5A",NA,"CASP4",NA,NA,NA,NA,NA,NA,NA,NA,"SAMD5","SNX18",NA,"AL590133.2",NA,NA,"SMIM1","SLAMF7","UGT1A8"
"CCPG1","BIN3",NA,NA,"ASCC3",NA,"HS3ST3B1",NA,NA,NA,NA,NA,NA,NA,NA,"SMS","GNS",NA,"MED8",NA,NA,"UBLCP1","S100A13","C1RL-AS1"
"ASPN","KLF2",NA,NA,"TIMM8B",NA,"RND3",NA,NA,NA,NA,NA,NA,NA,NA,"ZNF277","NFASC",NA,"WBP11",NA,NA,"PPM1K","TRAPPC5","SUSD4"
"MET","ERI3",NA,NA,"SREK1IP1",NA,"SLMAP",NA,NA,NA,NA,NA,NA,NA,NA,"SH3KBP1","SMC6",NA,"CRAT",NA,NA,"GNPNAT1","IRS2","C12orf76"
"MAN2A2","LINC00310",NA,NA,"COL4A2",NA,"STK11",NA,NA,NA,NA,NA,NA,NA,NA,"PFDN6","CDH1",NA,"MAPRE1",NA,NA,"RNASEH1","TRAM2","ORM2"
"CTDSPL","PZP",NA,NA,"DAPK3",NA,"CASC3",NA,NA,NA,NA,NA,NA,NA,NA,"TCAF1","ACACB",NA,"ARL8A",NA,NA,"PLEKHJ1","RNF139","HOXB2"
"GAS2L1","SPATA9",NA,NA,"TMEM8A",NA,"SMIM26",NA,NA,NA,NA,NA,NA,NA,NA,"CDRT1","SESN3",NA,"NT5C2",NA,NA,"AC115619.1","STAM","PFDN4"
"RMDN2","FCGR2B",NA,NA,"LSM8",NA,"PLGRKT",NA,NA,NA,NA,NA,NA,NA,NA,"PSMA3-AS1","RPAIN",NA,"EXOC5",NA,NA,"NRIP1","NPEPL1","CNKSR2"
"LBX2","ARRDC1",NA,NA,"AAK1",NA,"C11orf24",NA,NA,NA,NA,NA,NA,NA,NA,"EMP1","PSMC3",NA,"SNX4",NA,NA,"FRG1","FDX1","FAM98B"
"AC091132.4","ARL16",NA,NA,"WDR12",NA,"OXA1L",NA,NA,NA,NA,NA,NA,NA,NA,"APOA5","EMG1",NA,"UPB1",NA,NA,"TLN2","GTF3C5","CYP4F3"
"PLPP1","WDR36",NA,NA,"UBA5",NA,"ITSN1",NA,NA,NA,NA,NA,NA,NA,NA,"CHKB","STAM",NA,"AC110792.3",NA,NA,"VCP","INPP5K","CSTA"
"USP15","SUCLG2",NA,NA,"HERC4",NA,"ELOC",NA,NA,NA,NA,NA,NA,NA,NA,"PSPC1","NANS",NA,"PLGLB1",NA,NA,"IL1R1","BOK-AS1","RECK"
"RND1","PPP1R9B",NA,NA,"PLEKHA4",NA,"LINC02422",NA,NA,NA,NA,NA,NA,NA,NA,"CREB3","FAH",NA,"GRN",NA,NA,"SNAP29","SESN2","DACT1"
"MFGE8","TEX261",NA,NA,"UNG",NA,"ELOVL6",NA,NA,NA,NA,NA,NA,NA,NA,"HSDL2","PHACTR2",NA,"NANOS1",NA,NA,"MAP1B","MRPS5","MRRF"
"RAI14","GALNT2",NA,NA,"DHRS3",NA,"PAPLN",NA,NA,NA,NA,NA,NA,NA,NA,"CNKSR1","LGALS3",NA,"PACS2",NA,NA,"VBP1","TLK1","AL133419.1"
"S100A9","CTIF",NA,NA,"ERVK3-1",NA,"RANBP10",NA,NA,NA,NA,NA,NA,NA,NA,"UCK2","PARL",NA,"TRHDE-AS1",NA,NA,"TOR1A","ARIH1","LINC01320"
"BCL3","ATP6V0A1",NA,NA,"FUBP1",NA,"LIN7A",NA,NA,NA,NA,NA,NA,NA,NA,"UBE2E2","GADD45B",NA,"HPS1",NA,NA,"PLPBP","CEP44","LINC00997"
"CMAS","CAB39",NA,NA,"DIDO1",NA,"CASK",NA,NA,NA,NA,NA,NA,NA,NA,"C19orf53","RUVBL2",NA,"SEC23A",NA,NA,"TMEM203","ZBTB25","PPARD"
"CREBZF","KAT6A",NA,NA,"ZNF598",NA,"TCF7L2",NA,NA,NA,NA,NA,NA,NA,NA,"HCAR2","IL32",NA,"ABCA9",NA,NA,"MAGI2-AS3","FRY","F9"
"RAB11B","DMAC2L",NA,NA,"GSKIP",NA,"VAPB",NA,NA,NA,NA,NA,NA,NA,NA,"CPSF7","PTRH2",NA,"EPB41L3",NA,NA,"TUT7","REST","BMP10"
"PARVA","PLA2G4C",NA,NA,"MRTO4",NA,"SNX17",NA,NA,NA,NA,NA,NA,NA,NA,"TSFM","PRRC1",NA,"MTA2",NA,NA,"DELE1","ESD","B4GALT7"
"CEP70","SPTSSA",NA,NA,"CLIC1",NA,"MYC",NA,NA,NA,NA,NA,NA,NA,NA,"GCSAM","GPAA1",NA,"SUGT1",NA,NA,"SFSWAP","RAB31","LCLAT1"
"B4GALT1","PAIP1",NA,NA,"RMDN2",NA,"PGM1",NA,NA,NA,NA,NA,NA,NA,NA,"RNF114","TADA2B",NA,"MGST3",NA,NA,"PIP5K1C","AK2","FUT6"
"PACSIN2","NUP188",NA,NA,"AC068446.2",NA,"LPCAT3",NA,NA,NA,NA,NA,NA,NA,NA,"RPA1","TPP2",NA,"AFF4",NA,NA,"PRR14L","NGFR","A1BG"
"COG4","NR5A2",NA,NA,"POLR2G",NA,"ARPC5L",NA,NA,NA,NA,NA,NA,NA,NA,"MST1","GNAI2",NA,"KCNA2",NA,NA,"CYFIP1","ACSL1","LILRB4"
"DOCK6","TMEM222",NA,NA,"CAMK1D",NA,"CXCL10",NA,NA,NA,NA,NA,NA,NA,NA,"ZNF843","AKIRIN2",NA,"TRAPPC3",NA,NA,"SREBF2","ARMC6","SORD"
"ARRB2","CPQ",NA,NA,"GNG10",NA,"STX16",NA,NA,NA,NA,NA,NA,NA,NA,"UBE2O","HGD",NA,"B4GALT2",NA,NA,"RBM8A","CCT2","TTC39C"
"THYN1","NAPRT",NA,NA,"HMMR",NA,"LOXL2",NA,NA,NA,NA,NA,NA,NA,NA,"NPW","ADAR",NA,"PURPL",NA,NA,"MARCH2","AL451064.1","SLC27A2"
"NR4A1","EWSR1",NA,NA,"TUBA1B",NA,"BCR",NA,NA,NA,NA,NA,NA,NA,NA,"CDHR2","NBEAL2",NA,"IMP3",NA,NA,"PRPF6","ANKRD9","MKX"
"PSMC4","CLCN5",NA,NA,"HEXA",NA,"SCRN2",NA,NA,NA,NA,NA,NA,NA,NA,"NRBF2","AC139795.2",NA,"SERINC3",NA,NA,"PCSK1","AL135905.2","SYNE3"
"ECSIT","PRKN",NA,NA,"COPB1",NA,"AC021054.1",NA,NA,NA,NA,NA,NA,NA,NA,"MRPL16","PRKRA",NA,"KIR3DL2",NA,NA,"CYP4F26P","FGD4","C12orf73"
"TRIB1","PALM3",NA,NA,"H19",NA,"SPHK1",NA,NA,NA,NA,NA,NA,NA,NA,"ENDOD1","AC005523.2",NA,"CEP131",NA,NA,"CBX7","SULT1A2","LRRC8E"
"NFX1","EDC4",NA,NA,"LTBP1",NA,"BCL9L",NA,NA,NA,NA,NA,NA,NA,NA,"MAGOHB","PANK1",NA,"STAB1",NA,NA,"ICAM1","CDC23","GLDC"
"CHRAC1","UBE4A",NA,NA,"TRBC2",NA,"MNT",NA,NA,NA,NA,NA,NA,NA,NA,"AC096667.1","RRP1B",NA,"MCL1",NA,NA,"TSKU","COL14A1","PTGER4"
"GK","AGAP1",NA,NA,"ARFIP1",NA,"UBR3",NA,NA,NA,NA,NA,NA,NA,NA,"ACOX2","PPAN",NA,"ZCCHC24",NA,NA,"SRP54","PHLDB1","GSTA2"
"IL17RB","USP48",NA,NA,"SLC19A3",NA,"TMEM45A",NA,NA,NA,NA,NA,NA,NA,NA,"GAS6","PSMD13",NA,"SLC25A20",NA,NA,"AURKAIP1","ACTR2","ZFAND1"
"GSPT1","PSMC6",NA,NA,"SMPD4",NA,"NDFIP1",NA,NA,NA,NA,NA,NA,NA,NA,"ATP5IF1","DLC1",NA,"TNKS",NA,NA,"CBR1","RETSAT","AC008969.1"
"AP001505.1","PDE4DIP",NA,NA,"TMUB2",NA,"FMO5",NA,NA,NA,NA,NA,NA,NA,NA,"PRNP","STX5",NA,"USP24",NA,NA,"IGSF6","ENY2","LINS1"
"SLC4A2","STX17",NA,NA,"C1QA",NA,"SAP30L",NA,NA,NA,NA,NA,NA,NA,NA,"WNT5B","TCF12",NA,"PSMA2",NA,NA,"SAMD4A","VARS2","HSPA14"
"EEF1D","ABCC3",NA,NA,"VIM",NA,"C1orf52",NA,NA,NA,NA,NA,NA,NA,NA,"ARPC5L","TSFM",NA,"PAM",NA,NA,"PNKP","ARF6","HSPA14"
"SFSWAP","PRPF40B",NA,NA,"PRPF19",NA,"NFIL3",NA,NA,NA,NA,NA,NA,NA,NA,"DCTD","DUSP23",NA,"AC084277.1",NA,NA,"DLGAP3","SMAP2","AC093673.1"
"CTTN","TBC1D10B",NA,NA,"SLA",NA,"SLC16A1",NA,NA,NA,NA,NA,NA,NA,NA,"SLTM","BAIAP2L1",NA,"AC006115.2",NA,NA,"UBXN6","MAPK1IP1L","FN1"
"GTPBP3","VEGFA",NA,NA,"PTPRJ",NA,"TST",NA,NA,NA,NA,NA,NA,NA,NA,"GAPVD1","HPR",NA,"ZNF277",NA,NA,"ENTPD7","PLAAT4","CREB3L4"
"ZNF444","TOR1AIP2",NA,NA,"FBXW4",NA,"STX1B",NA,NA,NA,NA,NA,NA,NA,NA,"LINC02428","SCN2A",NA,"LIMK2",NA,NA,"RNF220","JMJD6","AL080276.2"
"BVES","ASPDH",NA,NA,"DCUN1D1",NA,"VBP1",NA,NA,NA,NA,NA,NA,NA,NA,"CPLANE2","RAP1GAP2",NA,"UGCG",NA,NA,"MARCO","TSPAN8","TMED2-DT"
"AP002387.2","LIPC",NA,NA,"CLK2",NA,"TBC1D23",NA,NA,NA,NA,NA,NA,NA,NA,"MBP","ABHD2",NA,"PSME4",NA,NA,"DDX39B","CERK","ZNF41"
"RCOR3","AIMP2",NA,NA,"RASSF4",NA,"ZBED5-AS1",NA,NA,NA,NA,NA,NA,NA,NA,"EFNA1","TXN2",NA,"PI4K2B",NA,NA,"CEP44","DDX24","PTGR2"
"DCUN1D3","CYB561A3",NA,NA,"RPS21",NA,"PRKAG2",NA,NA,NA,NA,NA,NA,NA,NA,"FARP1","GNL1",NA,"KIFC3",NA,NA,"GAS2L1","C3AR1","ZNF28"
"TNPO2","CARM1",NA,NA,"AL391244.2",NA,"SLC38A9",NA,NA,NA,NA,NA,NA,NA,NA,"ITGB1BP1","XRN2",NA,"LUC7L2",NA,NA,"SRD5A3","STUM","MYLPF"
"CYB561D2","XPO5",NA,NA,"SEC16A",NA,"MAF1",NA,NA,NA,NA,NA,NA,NA,NA,"AL161421.1","STMP1",NA,"MYC",NA,NA,"PTGES2","DYNLL1","SLC25A13"
"CYB561D2","KIAA1143",NA,NA,"NF1",NA,"FAM193B",NA,NA,NA,NA,NA,NA,NA,NA,"ULK4","APTX",NA,"GPAT3",NA,NA,"ERLIN1","PTPN1","DNAJC1"
"ARHGEF16","CANT1",NA,NA,"PSMD13",NA,"ABL1",NA,NA,NA,NA,NA,NA,NA,NA,"PRPS2","VPS29",NA,"ZNF879",NA,NA,"MAIP1","PDK2","ZNF470"
"EEPD1","YWHAH",NA,NA,"GPR108",NA,"PPIE",NA,NA,NA,NA,NA,NA,NA,NA,"AL023803.1","ALG12",NA,"LIPE",NA,NA,"MYO15B","BTBD19","PLA2G4B"
"ARFGEF2","SDCBP2-AS1",NA,NA,"EPS8L1",NA,"RNASEH2C",NA,NA,NA,NA,NA,NA,NA,NA,"PDLIM5","ABCA7",NA,"DDX55",NA,NA,"DNAJC15","AC099684.1","PTMS"
"UXS1","PMF1",NA,NA,"MTRF1L",NA,"NR1H2",NA,NA,NA,NA,NA,NA,NA,NA,"LIMD1","TNFRSF12A",NA,"ADGRL4",NA,NA,"NEIL2","SUMF1","ACOX3"
"ISM1","ATRN",NA,NA,"EIF5",NA,"GRAMD2B",NA,NA,NA,NA,NA,NA,NA,NA,"KAT5","GYG2",NA,"IPO11",NA,NA,"DHRS7B","ROGDI","PRDM11"
"SKIL","PHF23",NA,NA,"HNRNPA1",NA,"RPRD1A",NA,NA,NA,NA,NA,NA,NA,NA,"PLIN4","OCEL1",NA,"PCF11",NA,NA,"HSPH1","TBC1D2B","ALAS2"
"PAK2","SLC6A1",NA,NA,"KAT8",NA,"ITCH",NA,NA,NA,NA,NA,NA,NA,NA,"NUP98","SF3A3",NA,"TRUB2",NA,NA,"SSH1","PTH1R","FAM149B1"
"ATP6V1C1","TRUB2",NA,NA,"HNRNPH2",NA,"GABPB1-IT1",NA,NA,NA,NA,NA,NA,NA,NA,"AC034236.2","PCM1",NA,"AC008549.1",NA,NA,"DPH7","FARP1","HSD17B13"
"ATXN7L3B","CNN3",NA,NA,"PROS1",NA,"TMEM238",NA,NA,NA,NA,NA,NA,NA,NA,"ANGPTL2","APOM",NA,"CNKSR3",NA,NA,"SLC39A1","GFRA1","CALHM5"
"P4HTM","PTPRG",NA,NA,"DHRS7",NA,"C1QTNF1",NA,NA,NA,NA,NA,NA,NA,NA,"CD5L","POLR2B",NA,"GHDC",NA,NA,"TMEM45A","PDGFA","ADCY1"
"TSLP","ASB8",NA,NA,"PABPC1L",NA,"PPIA",NA,NA,NA,NA,NA,NA,NA,NA,"ASPSCR1","NXF1",NA,"PGM2",NA,NA,"DNAJC3","NONO","MYO18A"
"ICAM1","ZMYND11",NA,NA,"SPR",NA,"PCF11",NA,NA,NA,NA,NA,NA,NA,NA,"ARID1A","PRPF31",NA,"AL139289.2",NA,NA,"TM4SF5","RETREG1","HMGCS2"
"PSMG1","GGA2",NA,NA,"PDE8A",NA,"EZH1",NA,NA,NA,NA,NA,NA,NA,NA,"SGMS2","CFL2",NA,"CASTOR2",NA,NA,"VPS13C","CYB5R3","ASGR2"
"ST6GAL1","SLC2A3",NA,NA,"STAB1",NA,"SUPT16H",NA,NA,NA,NA,NA,NA,NA,NA,"SASH1","SLC16A12",NA,"ITFG1",NA,NA,"C19orf12","PDHB","AL139385.1"
"TXNRD1","IRF2BPL",NA,NA,"TBL1XR1",NA,"SIK3",NA,NA,NA,NA,NA,NA,NA,NA,"MRPL11","TSR2",NA,"JPT1",NA,NA,"ACAP2","TAF13","F2RL3"
"ACAD9","PROX1-AS1",NA,NA,"GYS2",NA,"MED10",NA,NA,NA,NA,NA,NA,NA,NA,"CD68","H2AFY",NA,"FAM8A1",NA,NA,"PPP2CB","ACSS3","AC000068.2"
"PLEKHA2","ANO6",NA,NA,"PARD3",NA,"UGT2B4",NA,NA,NA,NA,NA,NA,NA,NA,"BLOC1S1","LTBP4",NA,"ELN-AS1",NA,NA,"TXK","HNRNPL","SERPIND1"
"SRSF11","NDUFB7",NA,NA,"FOXA2",NA,"RAB5C",NA,NA,NA,NA,NA,NA,NA,NA,"SF3B6","CHIC2",NA,"AVPI1",NA,NA,"PPP1R3C","MEN1","SLC25A29"
"MMP15","COG1",NA,NA,"LMOD1",NA,"POLR2I",NA,NA,NA,NA,NA,NA,NA,NA,"EIF2S3","GRB14",NA,"PPM1G",NA,NA,"DDRGK1","C11orf74","CYP27A1"
"CEBPB","MPST",NA,NA,"CYP51A1",NA,"LGALS8",NA,NA,NA,NA,NA,NA,NA,NA,"AKR1A1","LINC01205",NA,"TXN",NA,NA,"GATA4","STBD1","PRG4"
"LRRC42","ABCB10",NA,NA,"CYBC1",NA,"FBXO8",NA,NA,NA,NA,NA,NA,NA,NA,"ALAD","LINC01070",NA,"CCDC59",NA,NA,"CDK10","ZNRF2","SEMA4G"
